review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,9,31,2,Buena calidad,Bueno pero esperaba un poco más.,true,12528,2026-01-27
2,16,,1,Satisfecho,Bueno pero esperaba un poco más.,true,23,2024-06-26
3,3,10,2,Satisfecho,El producto es correcto pero la entrega tardó.,true,21,2025-05-02
4,14,11,4,No tan bueno,Muy buena calidad por el precio.,false,20,2025-09-23
5,15,8,,No tan bueno,Excelente relación calidad-precio.,true,35,2023-09-04
6,12,29,2,Buena calidad,Excelente relación calidad-precio.,false,19,2026-05-29
7,13,27,5,Cumple expectativas,El producto es correcto pero la entrega tardó.,,42,2026-04-23
8,14,3,,Podría mejorar,LLEGó A TIEMPO Y EN PERFECTO ESTADO.,true,36,2024-10-29
9,18,26,3,Podría mejorar,El producto es correcto pero la entrega tardó.,true,27,2025-09-14
10,17,29,2,,Bueno pero esperaba un poco más.,true,9,2023-06-14
11,4,33,1,Podría mejorar,"Muy buena calidad por el precio.
",true,43,2026-05-22
12,,14,5,Excelente producto,Cumple con lo prometido.,true,49,2023-05-26
13,15,30,3,Excelente producto,El producto es correcto pero la entrega tardó.,true,5,2025-03-25
14,8,100025,,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,34,18-08-2024
15,17,21,4,Cumple expectativas,Cumple con lo prometido.,true,,
16,17,,1,Podría mejorar,Excelente relación calidad-precio.,false,36,2023-09-24
17,14,21,,,Excelente relación calidad-precio.,true,,2024-03-06
18,9,100001,4,No tan bueno,Cumple con lo prometido.,false,8,2026-01-14
19,15,21,4,Cumple expectativas,Llegó a tiempo y en perfecto estado.,true,,2024-08-20
20,9,22,3,Satisfecho,Bueno pero esperaba un poco más.,true,26,2023-09-30
21,15,34,4,Cumple expectativas,Bueno pero esperaba un poco más.,true,27,2023-09-23
22,4,25,1,Satisfecho,Muy buena calidad por el precio.,true,41,
23,13,30,2,Excelente producto,Llegó a tiempo y en perfecto estado.,,24,2023-05-10
24,5,15,4,Cumple expectativas,Excelente relación calidad-precio.,true,39,2024-11-12
25,17,13,5,Podría mejorar,El producto es correcto pero la entrega tardó.,false,33,2024-12-28
26,14,16,2,Cumple expectativas,Bueno pero esperaba un poco más.,true,10,2023-07-28
27,16,7,3,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,,2024-04-10
28,1,3,,Excelente producto,Muy buena calidad por el precio.,false,22,2023-05-18
29,17,31,2,Buena calidad,No cumplió mis expectativas.,false,,2024-07-18
30,17,23,,CUMPLE EXPECTATIVAS,,false,27,2024-02-28
31,8,26,5,Recomendado,Bueno pero esperaba un poco más.,true,28,2025-04-01
32,8,12,3,Cumple expectativas,"Superó mis expectativas, lo recomiendo totalmente.",false,8,2025-12-07
33,,4,1,,Llegó a tiempo y en perfecto estado.,true,19,2023-06-04
34,12,31,3,Satisfecho,No cumplió mis expectativas.,true,42,2023-01-29
35,11,27,2,Recomendado,Bueno pero esperaba un poco más.,false,35,
36,13,25,2,Recomendado,Muy buena calidad por el precio.,true,2,2023-04-05
37,16,,3,Satisfecho,Muy buena calidad por el precio.,true,2,2023-10-11
38,14,29,2,No tan bueno,,true,0,
39,1,25,3,,Bueno pero esperaba un poco más.,false,42,2023-01-12
40,20,14,1,Muy bueno,Excelente relación calidad-precio.,true,18,2025-08-10
41,17,31,2,Muy bueno,Cumple con lo prometido.,true,47,2026-05-05
42,17,30,5,Recomendado,Bueno pero esperaba un poco más.,false,1,2024-10-05
43,3,,2,Recomendado,Cumple con lo prometido.,true,31,2023-12-28
44,11,11,2,Satisfecho,,true,16,2027-04-04
45,4,14,5,Satisfecho,Bueno pero esperaba un poco más.,true,2,2023-01-16
46,7,34,,Podría mejorar,El producto es correcto pero la entrega tardó.,false,33,2025-12-03
47,11,26,4,Podría mejorar,Muy buena calidad por el precio.,false,45,2026-02-21
48,3,2,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,36,
49,6,17,5,Recomendado,Llegó a tiempo y en perfecto estado.,true,14,2023-03-23
50,12,8,3,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.
",,30,2025-12-04
51,100010,23,5,Satisfecho,Cumple con lo prometido.,true,18,
52,7,25,2,Buena calidad,El producto es correcto pero la entrega tardó.,true,28,2024-02-18
53,6,10,4,,No cumplió mis expectativas.,true,,2024-06-12
54,13,29,5,Buena calidad,Muy buena calidad por el precio.,true,50,2025-12-01
55,19,24,1,Buena calidad,"Superó mis expectativas, lo recomiendo totalmente.",false,44,2023-07-26
56,,19,4,Excelente producto,Muy buena calidad por el precio.,true,0,2023-03-11
57,,7,,Muy bueno,El producto es correcto pero la entrega tardó.,,,"Apr 08, 2024"
58,16,26,4,Podría mejorar,Excelente relación calidad-precio.,false,34,2025-08-13
59,8,100005,1,No tan bueno,No cumplió mis expectativas.,true,18,2025-02-25
60,3,1,,no tan bueno,,false,,11 Mar 2026
61,4,19,2,Excelente producto,Llegó a tiempo y en perfecto estado.,true,26,2024-03-25
62,18,3,4,Podría mejorar,Cumple con lo prometido.,false,10,2025-08-24
